band;instrument;name
"Guns N' Roses";b;"Tommy Stinson"
"Guns N' Roses";d;"Frank Ferrer"
"Guns N' Roses";g;"DJ Ashba"
"Guns N' Roses";g;"Richard Fortus"
"Guns N' Roses";g;"Ron 'Bumblefoot' Thal"
"Guns N' Roses";p;"Chris Pitman"
"Guns N' Roses";p;"Dizzy Reed"
"Guns N' Roses";v;"Axl Rose"
"Led Zeppelin";b;"John Paul Jones"
"Led Zeppelin";d;"John Bonham"
"Led Zeppelin";g;"Jimmy Page"
"Led Zeppelin";v;"Robert Plant"
"Linkin Park";b;"David Farrell"
"Linkin Park";d;"Rob Bourdon"
"Linkin Park";g;"Brad Delson"
"Linkin Park";g;"Joe Hahn"
"Linkin Park";v;"Chester Bennington"
"Linkin Park";v;"Mike Shinoda"
"Metallica";b;"Robert Trujillo"
"Metallica";d;"Lars Ulrich"
"Metallica";g;"Kirk Hammett"
"Metallica";v;"James Hetfield"
"Pink Floyd";d;"Nick Mason"
"Pink Floyd";g;"David Gilmour"
"The Beatles";b;"Paul McCartney"
"The Beatles";d;"Ringo Starr"
"The Beatles";g;"George Harrison"
"The Beatles";g;"John Lennon"
"U2";b;"Adam Clayton"
"U2";d;"Larry Mullen Jr."
"U2";g;"The Edge"
"U2";v;"Bono Vox"
